image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_001,461155735.jpg,Bahrain,iNaturalist,B,yes,clear,no,no,"focused on leaves, low resolution"
BH_002,447220184.jpeg,Bahrain,iNaturalist,B,yes,clear,yes,no,low resolution
BH_003,393801172.jpeg,Bahrain,iNaturalist,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_004,393801203.jpeg,Bahrain,iNaturalist,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_005,328907410.jpeg,Bahrain,iNaturalist,A,yes,clear,yes,yes,"low-medium resolution, focused on unhealthy leaves with some unhealthy flower present"
BH_006,328907422.jpeg,Bahrain,iNaturalist,C,yes,partial,no,no,"many objects, low resolution"
BH_007,328907443.jpeg,Bahrain,iNaturalist,C,yes,partial,no,no,"many objects, low resolution"
BH_008,328907459.jpeg,Bahrain,iNaturalist,A,yes,clear,yes,yes,"medium resolution, mix of healthy and unhealthy leaves with unhealthy flowers"
BH_009,204330448.jpeg,Bahrain,iNaturalist,B,yes,clear,yes,no,"low resolution, flowers"
BH_010,203609558.jpg,Bahrain,iNaturalist,B,yes,clear,yes,no,"focused on leaves and flowers, medium resolution"
BH_011,203609587.jpg,Bahrain,iNaturalist,A,yes,clear,yes,yes,focused on leaves with some flower present
BH_012,203609626.jpg,Bahrain,iNaturalist,A,yes,clear,yes,yes,focused on leaves with some flower present
BH_013,165088754.jpg,Bahrain,iNaturalist,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_014,138907633.jpg,Bahrain,iNaturalist,B,yes,partial,no,no,"less than 50% of leaf shap present, focus on flowers"
BH_015,138907607.jpg,Bahrain,iNaturalist,A,yes,clear,yes,yes,"medium resolution dominant leaves, and small flowers"
BH_016,138907620.jpg,Bahrain,iNaturalist,A,yes,clear,yes,yes,focused on leaves with some flower present
BH_017,138907546.jpg,Bahrain,iNaturalist,C,yes,clear,yes,no,low resolution
BH_018,138907553.jpg,Bahrain,iNaturalist,C,yes,clear,yes,no,low resolution
BH_019,138907564.jpg,Bahrain,iNaturalist,C,yes,clear,yes,no,low resolution
BH_020,138697076.jpg,Bahrain,iNaturalist,C,yes,partial,no,no,"a tree in the middle of the water, low resolution"
BH_021,7127824.jpg,Bahrain,iNaturalist,C,yes,clear,yes,no,low resolution
BH_022,7127978.jpg,Bahrain,iNaturalist,A,yes,clear,yes,yes,"low - medium resolution tree image with dominant leaves, and small flowers"
BH_023,1896158.JPG,Bahrain,iNaturalist,A,yes,clear,yes,no,low resolution
BH_024,20230401_091941.jpg,Bahrain,local_research,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_025,20230401_091955.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_026,20230401_092053.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_027,20230401_092054.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_028,20230401_092122.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_029,20230401_092127.jpg,Bahrain,local_research,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_030,20230401_092133.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_031,20230401_092205.jpg,Bahrain,local_research,C,yes,partial,no,no,"full tree, medium to low resolution"
BH_032,20230401_092207.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_033,20230401_092209.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_034,20230401_092211.jpg,Bahrain,local_research,C,yes,partial,no,no,"full tree, medium to low resolution"
BH_035,20230401_092220.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_036,20230401_092324.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_037,20230401_092328.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_038,20230401_092336.jpg,Bahrain,local_research,C,yes,partial,no,no,"full tree, medium to low resolution"
BH_039,20230401_092401.jpg,Bahrain,local_research,D,yes,poor,no,no,"many objects, low resolution, far distant"
BH_040,20230401_092405.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_041,20230401_092409.jpg,Bahrain,local_research,C,yes,partial,no,no,"many objects, low resolution"
BH_042,20230401_092443.jpg,Bahrain,local_research,D,yes,poor,no,no,"many objects, low resolution, far distant"
